acc: KJ702766.1, len: 1143
acc: JF756758.1, len: 1143
acc: JF756761.1, len: 1143
acc: JF756760.1, len: 1143
acc: JX565697.1, len: 1105
acc: DQ837520.1, len: 1143
acc: DQ092882.1, len: 1143
acc: MN356284.1, len: 14897
acc: JN826740.1, len: 351
acc: JN826237.1, len: 326
acc: MH265378.1, len: 584
acc: JN826453.1, len: 584
acc: JN826232.1, len: 584
acc: JN826233.1, len: 584
acc: JN826481.1, len: 279
acc: FJ460924.1, len: 582
acc: FJ460921.1, len: 582
acc: FJ460923.1, len: 582
acc: JN826482.1, len: 1041
acc: JN826483.1, len: 1041
acc: KJ455376.1, len: 1029
acc: FJ357986.1, len: 1018
acc: JN827012.1, len: 967
acc: KJ456228.1, len: 1065
acc: JN827013.1, len: 967
acc: DQ861950.1, len: 1023
acc: JX236381.1, len: 1103
acc: JN826484.1, len: 521
acc: JF756833.1, len: 1041
acc: JN826485.1, len: 521
acc: JF756832.1, len: 1041
acc: JF756834.1, len: 1041
acc: JX565691.1, len: 1001
acc: JN826743.1, len: 351
acc: JN826744.1, len: 351
acc: EF154816.1, len: 1041
acc: EF154793.1, len: 1041
acc: EF154794.1, len: 1041
acc: EF154795.1, len: 1041
acc: EF154812.1, len: 1041
acc: EF154798.1, len: 1041
acc: JN827014.1, len: 1143
acc: KJ456264.1, len: 1143
acc: JX236383.1, len: 1130
acc: HQ529139.1, len: 1040
acc: AY128566.1, len: 867
acc: JN826755.1, len: 351
acc: MK547450.1, len: 575
acc: MH265359.1, len: 554
acc: JN826250.1, len: 336
acc: JN826251.1, len: 333
acc: JN826324.1, len: 581
acc: JN826346.1, len: 581
acc: JN826329.1, len: 580
acc: JN826330.1, len: 580
acc: JN826391.1, len: 581
acc: JN826756.1, len: 351
acc: DQ837521.1, len: 1143
acc: DQ837519.1, len: 1143
acc: DQ092885.1, len: 1143
acc: DQ092883.1, len: 1143
acc: KJ702756.1, len: 1143
acc: JN826580.1, len: 1041
acc: EU686314.1, len: 1037
acc: MN854352.1, len: 1143
acc: MN854360.1, len: 1143
acc: MN854358.1, len: 1143
acc: MN854356.1, len: 1143
acc: MN854353.1, len: 1143
acc: MN854342.1, len: 1143
acc: MN854355.1, len: 1143
acc: KJ702758.1, len: 1143
acc: JF756762.1, len: 1143
acc: JN826643.1, len: 1041
acc: JN826644.1, len: 1041
acc: JN826558.1, len: 1041
acc: MN991370.1, len: 1041
acc: MN991363.1, len: 1041
acc: JN826688.1, len: 1041
acc: MH384657.1, len: 1041
acc: MN991366.1, len: 1041
acc: KJ702754.1, len: 1143
acc: KJ702759.1, len: 1143
acc: MK069018.1, len: 1143
acc: GU724397.1, len: 1143
acc: MH384654.1, len: 1041
acc: MH384675.1, len: 1041
acc: MH384672.1, len: 1041
acc: MH384651.1, len: 1041
acc: MH384656.1, len: 1041
acc: MK599008.1, len: 1131
acc: JN127169.1, len: 1066
acc: KJ456189.1, len: 1143
acc: KJ456510.1, len: 1026
acc: KJ456512.1, len: 1025
acc: JN827111.1, len: 1134
acc: MK069024.1, len: 1143
acc: JN827112.1, len: 1143
acc: MN854349.1, len: 1143
acc: MN854343.1, len: 1143
acc: MN854339.1, len: 1143
acc: MN854361.1, len: 1143
acc: MN854354.1, len: 1143
acc: DQ092878.1, len: 1143
acc: JN827177.1, len: 1143
acc: JN827178.1, len: 1143
acc: JN827208.1, len: 1143
acc: DQ092877.1, len: 1143
acc: NC_040991.1, len: 17817
acc: JN827237.1, len: 1143
acc: JN827236.1, len: 1143
acc: JN827071.1, len: 1143
acc: MK599039.1, len: 1102
acc: MK599038.1, len: 1099
acc: KF750028.1, len: 1143
acc: KP398668.1, len: 351
acc: KP398670.1, len: 351
acc: KP398671.1, len: 351
acc: JN826888.1, len: 351
acc: KP398674.1, len: 351
acc: KP398669.1, len: 351
acc: KT783535.1, len: 17834
acc: MK068944.1, len: 351
acc: KP398678.1, len: 351
acc: JN826901.1, len: 351
acc: KJ456415.1, len: 1143
acc: MK599027.1, len: 1099
acc: MK599031.1, len: 1099
acc: JN827095.1, len: 1143
acc: JN826548.1, len: 1041
acc: EU686296.1, len: 1031
acc: MH908279.1, len: 1032
acc: JN827158.1, len: 967
acc: JN827159.1, len: 967
acc: MT017906.1, len: 16614
acc: MT017907.1, len: 16645
acc: NC_052842.1, len: 16685
acc: JN827092.1, len: 967
acc: JN826546.1, len: 1041
acc: JN826547.1, len: 1041
acc: JN827069.1, len: 967
acc: JN827070.1, len: 967
acc: JN826549.1, len: 1041
acc: JX259205.1, len: 1036
acc: EU686292.1, len: 1031
acc: EU686294.1, len: 1031
acc: MN356236.1, len: 14901
acc: DQ861970.1, len: 1018
acc: JN827072.1, len: 1143
acc: EU686295.1, len: 1023
acc: EU686297.1, len: 989
acc: JN827081.1, len: 1143
acc: JN827075.1, len: 1143
acc: AY124539.1, len: 1143
acc: JN826551.1, len: 1041
acc: EU686309.1, len: 1023
acc: JN827074.1, len: 967
acc: AF484858.1, len: 1020
acc: EU686298.1, len: 1037
acc: EU686312.1, len: 1027
acc: EU686303.1, len: 1037
acc: EU686311.1, len: 1032
acc: EU686300.1, len: 1036
acc: EU686299.1, len: 1040
acc: JN826550.1, len: 1041
acc: EU686307.1, len: 1028
acc: EU686308.1, len: 1030
acc: FJ460777.1, len: 1041
acc: EU686315.1, len: 1036
acc: JN826557.1, len: 1041
acc: JN826552.1, len: 1041
acc: EU686319.1, len: 1037
acc: EU686320.1, len: 1036
acc: EU686317.1, len: 1029
acc: EU686316.1, len: 1011
acc: EU686318.1, len: 944
acc: JX236390.1, len: 863
acc: JN826553.1, len: 1041
acc: JN826554.1, len: 1041
acc: EU686321.1, len: 1032
acc: EU652715.1, len: 1024
acc: EU686322.1, len: 998
acc: JN827076.1, len: 967
acc: EU686323.1, len: 994
acc: JN827077.1, len: 967
acc: FJ178359.1, len: 1034
acc: JN826555.1, len: 1041
acc: EU686324.1, len: 1037
acc: EU686325.1, len: 1029
acc: JN826556.1, len: 1008
acc: JN827080.1, len: 1143
acc: EU686329.1, len: 1024
acc: EU686328.1, len: 1024
acc: KC355152.1, len: 1032
acc: KC355156.1, len: 1031
acc: EU686326.1, len: 1033
acc: EU686327.1, len: 1033
acc: EU652716.1, len: 1005
acc: KC355146.1, len: 1030
acc: KC355155.1, len: 1031
acc: KC355145.1, len: 1014
acc: HQ529138.1, len: 1040
acc: JN827166.1, len: 1143
acc: JN827160.1, len: 1143
acc: JN827163.1, len: 1143
acc: JN827162.1, len: 1143
acc: JN827124.1, len: 1143
acc: JN827082.1, len: 1143
acc: FJ460775.1, len: 1041
acc: DQ861985.1, len: 1023
acc: MH908394.1, len: 1032
acc: MH908387.1, len: 1032
acc: FJ460778.1, len: 1041
acc: GU724469.1, len: 1041
acc: JN826631.1, len: 1041
acc: HQ529043.1, len: 519
acc: JN826572.1, len: 1041
acc: MK599028.1, len: 1099
acc: KC355150.1, len: 1032
acc: KC355143.1, len: 1027
acc: JN827100.1, len: 967
acc: NC_050259.1, len: 16996
acc: JN826624.1, len: 1041
acc: JX518511.1, len: 1040
acc: JN826664.1, len: 1041
acc: KJ455586.1, len: 1041
acc: KJ455654.1, len: 1041
acc: GU724470.1, len: 1041
acc: JN826623.1, len: 1041
acc: KJ455317.1, len: 1041
acc: JN826473.1, len: 1041
acc: KJ456413.1, len: 1143
acc: JN826569.1, len: 1041
acc: JN826633.1, len: 1041
acc: JN826632.1, len: 1041
acc: JN827210.1, len: 1143
acc: AY124542.1, len: 1143
acc: JN827188.1, len: 1143
acc: JN827185.1, len: 1143
acc: JN827200.1, len: 1143
acc: JN826571.1, len: 1041
acc: MG546405.1, len: 1041
acc: MG546404.1, len: 1041
acc: JN827097.1, len: 1143
acc: JN827098.1, len: 1143
acc: JN826573.1, len: 1041
acc: FJ460774.1, len: 1041
acc: MH908363.1, len: 1026
acc: MH908405.1, len: 1026
acc: MH908253.1, len: 1026
acc: DQ092876.1, len: 1143
acc: KJ456476.1, len: 1143
acc: GU724400.1, len: 1143
acc: HQ529140.1, len: 1040
acc: MH384653.1, len: 1041
acc: MH384669.1, len: 1041
acc: MH384663.1, len: 1041
acc: JN826574.1, len: 1041
acc: MH384662.1, len: 1041
acc: MH384673.1, len: 1041
acc: MH384670.1, len: 1041
acc: MH384668.1, len: 1041
acc: MH384649.1, len: 1041
acc: MH384671.1, len: 1041
acc: MH384665.1, len: 1041
acc: MH384660.1, len: 1041
acc: MH379417.1, len: 1032
acc: JN826575.1, len: 1041
acc: DQ861942.1, len: 1023
acc: KJ455490.1, len: 1041
acc: KJ456332.1, len: 1053
acc: MN991352.1, len: 1041
acc: JN127168.1, len: 1064
acc: JN827104.1, len: 1143
acc: JN826579.1, len: 1041
acc: JN827101.1, len: 1143
acc: JN826576.1, len: 1041
acc: MN854340.1, len: 1143
acc: JN127218.1, len: 838
acc: MH908280.1, len: 1032
acc: KJ456475.1, len: 1143
acc: JN827106.1, len: 1143
acc: JN127219.1, len: 849
acc: JN827108.1, len: 1143
acc: JN826581.1, len: 1041
acc: JN827107.1, len: 1143
acc: JN826582.1, len: 1041
acc: JN827113.1, len: 1143
acc: JN827110.1, len: 1143
acc: JN826584.1, len: 1041
acc: JN826583.1, len: 1041
acc: MG546411.1, len: 1041
acc: MG546412.1, len: 1041
acc: MG546410.1, len: 1041
acc: MG546413.1, len: 1041
acc: MH908406.1, len: 1032
acc: MH908245.1, len: 1032
acc: MH908286.1, len: 1032
acc: MH908345.1, len: 1032
acc: JN826585.1, len: 1041
acc: MG546415.1, len: 1041
acc: MG546416.1, len: 1041
acc: MH908262.1, len: 1032
acc: MH908263.1, len: 1032
acc: MH908386.1, len: 1032
acc: MH908366.1, len: 1032
acc: MH908303.1, len: 1032
acc: MH908397.1, len: 1032
acc: MG546414.1, len: 992
acc: JN826586.1, len: 1041
acc: JN826587.1, len: 1041
acc: JN827114.1, len: 1143
acc: JN826588.1, len: 1041
acc: JN827150.1, len: 1143
acc: KJ456414.1, len: 1143
acc: NC_053072.1, len: 16915
acc: JN827123.1, len: 1143
acc: JN826599.1, len: 1041
acc: FJ460773.1, len: 1041
acc: JN826837.1, len: 351
acc: JN826841.1, len: 351
acc: EU686365.1, len: 351
acc: EU686369.1, len: 351
acc: EU686339.1, len: 351
acc: FJ460841.1, len: 351
acc: JN826862.1, len: 351
acc: EU686370.1, len: 351
acc: JN826907.1, len: 351
acc: JN827125.1, len: 1143
acc: JN826601.1, len: 1041
acc: MG546422.1, len: 1002
acc: MG546424.1, len: 1041
acc: MG546423.1, len: 1041
acc: JN827206.1, len: 1143
acc: JN827205.1, len: 1143
acc: KU362930.1, len: 16885
acc: GU724393.1, len: 1143
acc: JN827183.1, len: 1143
acc: JN827184.1, len: 1143
acc: KJ456477.1, len: 1143
acc: KC355151.1, len: 1007
acc: KC355157.1, len: 1031
acc: KC355149.1, len: 1033
acc: MN991465.1, len: 1041
acc: GU724391.1, len: 1143
acc: JN827157.1, len: 1143
acc: GU724390.1, len: 1143
acc: MN854351.1, len: 1143
acc: MN854336.1, len: 1143
acc: MN854333.1, len: 1143
acc: MN854331.1, len: 1143
acc: KJ456416.1, len: 1143
acc: GU724385.1, len: 1143
acc: HQ529156.1, len: 1040
acc: JN827153.1, len: 1143
acc: GU724388.1, len: 1143
acc: JN827154.1, len: 1143
acc: GU724384.1, len: 1143
acc: MK599076.1, len: 1140
acc: MK599072.1, len: 1140
acc: MK599068.1, len: 1140
acc: MK599077.1, len: 1140
acc: MK599073.1, len: 1140
acc: MK599067.1, len: 1100
acc: KJ702834.1, len: 1143
acc: KJ702829.1, len: 1143
acc: KJ702827.1, len: 1143
acc: KJ702830.1, len: 1143
acc: KJ702824.1, len: 1143
acc: MK069017.1, len: 1143
acc: KJ702835.1, len: 1143
acc: KJ702826.1, len: 1143
acc: KJ702831.1, len: 1143
acc: KJ702828.1, len: 1143
acc: GU724396.1, len: 1143
acc: GU724395.1, len: 1143
acc: HQ529168.1, len: 1040
acc: HQ529162.1, len: 1040
acc: GU724474.1, len: 1041
acc: GU724473.1, len: 1041
acc: HQ529161.1, len: 1040
acc: HQ529167.1, len: 1040
acc: HQ529165.1, len: 1040
acc: HQ529166.1, len: 1040
acc: JN827152.1, len: 1143
acc: GU724383.1, len: 1143
acc: JN826626.1, len: 1041
acc: HQ529174.1, len: 1040
acc: GU724461.1, len: 1041
acc: KJ702836.1, len: 1143
acc: JN827155.1, len: 1143
acc: KF750015.1, len: 1143
acc: KF543383.1, len: 1143
acc: KM975254.1, len: 1143
acc: KF543385.1, len: 1143
acc: KF543381.1, len: 1143
acc: KF543378.1, len: 1143
acc: KF543377.1, len: 1143
acc: KM975214.1, len: 1143
acc: KM975211.1, len: 1143
acc: JN827156.1, len: 1143
acc: KF750085.1, len: 1143
acc: KF750083.1, len: 1143
acc: KF750082.1, len: 1143
acc: KF543409.1, len: 1143
acc: KF543414.1, len: 1143
acc: KF543412.1, len: 1143
acc: GU724382.1, len: 1143
acc: KF750080.1, len: 1143
acc: KF543411.1, len: 1143
acc: KF543424.1, len: 1143
acc: KF750092.1, len: 1143
acc: KF750090.1, len: 1143
acc: KF543422.1, len: 1143
acc: KF543421.1, len: 1143
acc: HQ529219.1, len: 1040
acc: MN854357.1, len: 1143
acc: JN826634.1, len: 1041
acc: JN826635.1, len: 1041
acc: JN827161.1, len: 695
acc: MN991359.1, len: 1041
acc: MN991358.1, len: 1041
acc: MN991357.1, len: 1041
acc: JN826636.1, len: 1041
acc: MH379410.1, len: 1019
acc: MH379409.1, len: 1000
acc: MH379423.1, len: 987
acc: MH384732.1, len: 1041
acc: MH384731.1, len: 1041
acc: MH379419.1, len: 1029
acc: MH384723.1, len: 1041
acc: JN826637.1, len: 1041
acc: MH384734.1, len: 1041
acc: MH384733.1, len: 1041
acc: JN826638.1, len: 397
acc: JN826908.1, len: 351
acc: JN826909.1, len: 351
acc: JN826805.1, len: 351
acc: EU686333.1, len: 351
acc: EU686336.1, len: 351
acc: JN826639.1, len: 319
acc: EU686335.1, len: 351
acc: JN826817.1, len: 351
acc: MH908233.1, len: 1032
acc: JN826676.1, len: 1041
acc: JN827165.1, len: 1051
acc: KJ702760.1, len: 1143
acc: KP398573.1, len: 351
acc: KP398578.1, len: 351
acc: KP398566.1, len: 351
acc: KP398565.1, len: 351
acc: JN826647.1, len: 1041
acc: DQ861954.1, len: 1023
acc: JN826651.1, len: 1041
acc: JN826646.1, len: 1041
acc: KJ455638.1, len: 1041
acc: DQ861961.1, len: 1023
acc: JN826652.1, len: 1041
acc: DQ861948.1, len: 1023
acc: JN826143.1, len: 579
acc: JN826395.1, len: 581
acc: JN826146.1, len: 581
acc: JN826145.1, len: 581
acc: JN826394.1, len: 581
acc: JN826142.1, len: 581
acc: JN827171.1, len: 1143
acc: MK599005.1, len: 1140
acc: MK599006.1, len: 1098
acc: JN826649.1, len: 1041
acc: JN826650.1, len: 1041
acc: DQ861947.1, len: 1023
acc: DQ861963.1, len: 1023
acc: KJ456458.1, len: 1143
acc: JN827172.1, len: 967
acc: MK599007.1, len: 980
acc: MK599004.1, len: 922
acc: JN827173.1, len: 1143
acc: JN827174.1, len: 1143
acc: KJ456459.1, len: 1143
acc: JN827169.1, len: 967
acc: KJ456511.1, len: 1026
acc: JN826655.1, len: 1041
acc: GU724475.1, len: 1041
acc: JN826656.1, len: 1041
acc: DQ861982.1, len: 1023
acc: KJ456472.1, len: 1143
acc: JN826657.1, len: 1041
acc: JN827179.1, len: 967
acc: JN827180.1, len: 967
acc: KJ455652.1, len: 1041
acc: JN826659.1, len: 1041
acc: JN826660.1, len: 1020
acc: KJ455653.1, len: 1041
acc: MG546491.1, len: 1041
acc: MG546492.1, len: 1041
acc: KF977984.1, len: 1041
acc: KM975198.1, len: 1041
acc: KF749865.1, len: 1041
acc: KM975178.1, len: 1041
acc: KM975173.1, len: 1041
acc: JN827182.1, len: 1143
acc: KJ456473.1, len: 1143
acc: GU724401.1, len: 1143
acc: KF977898.1, len: 1143
acc: KF977888.1, len: 1143
acc: JN826661.1, len: 1041
acc: KJ455657.1, len: 1041
acc: JN827186.1, len: 1143
acc: DQ092875.1, len: 1143
acc: JN827187.1, len: 1143
acc: GU724392.1, len: 1143
acc: FJ358008.1, len: 1023
acc: JN826666.1, len: 1041
acc: JN826663.1, len: 1041
acc: FJ460787.1, len: 1041
acc: JN826678.1, len: 1041
acc: JN826677.1, len: 1041
acc: FJ460791.1, len: 1041
acc: JN827190.1, len: 1109
acc: JN827191.1, len: 1143
acc: JN826668.1, len: 1041
acc: MH908377.1, len: 1032
acc: MH908272.1, len: 1032
acc: MH908260.1, len: 1032
acc: FJ460771.1, len: 1041
acc: JN826413.1, len: 573
acc: JN826420.1, len: 582
acc: JN826669.1, len: 543
acc: JN825920.1, len: 539
acc: JN826165.1, len: 535
acc: JN826423.1, len: 582
acc: JN826370.1, len: 581
acc: KM975052.1, len: 582
acc: KM975037.1, len: 582
acc: KM975043.1, len: 582
acc: JN827211.1, len: 967
acc: JN826687.1, len: 1041
acc: FJ358011.1, len: 1003
acc: JN827194.1, len: 1143
acc: JN826671.1, len: 1041
acc: MG546489.1, len: 989
acc: MG546493.1, len: 1010
acc: MG546490.1, len: 1008
acc: JN827195.1, len: 1143
acc: JN826672.1, len: 1041
acc: MH908222.1, len: 1032
acc: MH908365.1, len: 1032
acc: MH908248.1, len: 1032
acc: MH908332.1, len: 1032
acc: MH908256.1, len: 1025
acc: MH908331.1, len: 1023
acc: KF977894.1, len: 1143
acc: HQ529228.1, len: 1040
acc: JN827196.1, len: 1143
acc: JN826673.1, len: 1041
acc: DQ008485.1, len: 1038
acc: DQ125992.1, len: 1036
acc: FJ358009.1, len: 1023
acc: JN827197.1, len: 1143
acc: DQ092873.1, len: 1143
acc: GU724394.1, len: 1143
acc: KY547984.1, len: 1041
acc: KY547980.1, len: 1041
acc: JN826674.1, len: 1041
acc: KY547994.1, len: 1041
acc: KY547988.1, len: 1041
acc: KY547978.1, len: 1041
acc: KY547993.1, len: 1041
acc: KY547992.1, len: 1041
acc: KY547991.1, len: 1041
acc: JN827198.1, len: 1143
acc: JN827199.1, len: 1143
acc: JN826675.1, len: 1041
acc: MH908368.1, len: 1032
acc: MH908261.1, len: 1029
acc: DQ402187.1, len: 1041
acc: JN826679.1, len: 1041
acc: JN826686.1, len: 1041
acc: GU724479.1, len: 1041
acc: JN826685.1, len: 1041
acc: FJ358010.1, len: 1023
acc: JN826680.1, len: 1041
acc: JN826681.1, len: 1041
acc: MG546496.1, len: 1041
acc: MG546497.1, len: 1041
acc: MH908266.1, len: 1032
acc: MH908372.1, len: 1029
acc: HQ011178.1, len: 726
acc: HQ011181.1, len: 726
acc: HQ011187.1, len: 726
acc: HQ011177.1, len: 726
acc: JN827204.1, len: 967
acc: AY847061.1, len: 988
acc: HQ529229.1, len: 1040
acc: JN826682.1, len: 1041
acc: JN826683.1, len: 1041
acc: JN827207.1, len: 1143
acc: JN826684.1, len: 1041
acc: DQ861940.1, len: 1023
acc: JN827209.1, len: 839
acc: DQ092884.1, len: 1143
acc: HQ529232.1, len: 888
acc: MN854359.1, len: 1143
acc: MN854344.1, len: 1143
acc: MN854332.1, len: 1143
acc: AF094633.1, len: 836
acc: JN827230.1, len: 967
acc: KJ455584.1, len: 1041
acc: JN827213.1, len: 990
acc: JN827214.1, len: 979
acc: KJ456488.1, len: 1143
acc: MH384666.1, len: 1041
acc: MH384664.1, len: 1041
acc: NC_040006.1, len: 16963
acc: MN854346.1, len: 1143
acc: GU724379.1, len: 1143
acc: GU724457.1, len: 1041
acc: JN826704.1, len: 1041
acc: HQ529234.1, len: 1040
acc: GU724458.1, len: 1041
acc: HQ529233.1, len: 1040
acc: GU724459.1, len: 1041
acc: JN826449.1, len: 581
acc: FJ460926.1, len: 582
acc: JN826432.1, len: 582
acc: FJ460928.1, len: 582
acc: JN826421.1, len: 582
acc: JN826410.1, len: 582
acc: JN826431.1, len: 582
acc: JN826706.1, len: 1041
acc: JF756836.1, len: 1041
acc: FJ460782.1, len: 1041
acc: KM975210.1, len: 1143
acc: KF543375.1, len: 1143
acc: FJ460785.1, len: 1041
acc: JN826712.1, len: 1041
acc: JN826711.1, len: 1041
acc: FJ460786.1, len: 1041
acc: KJ455698.1, len: 1041
acc: GU724481.1, len: 1041
acc: JN827233.1, len: 1143
acc: DQ092880.1, len: 1143
acc: GU724402.1, len: 1143
acc: FJ460781.1, len: 1041
acc: GU724480.1, len: 1041
acc: FJ358014.1, len: 1023
acc: JN826710.1, len: 1041
acc: FJ460783.1, len: 1041
acc: KJ455696.1, len: 1041
acc: FJ358015.1, len: 1023
acc: JN826713.1, len: 1041
acc: JN827235.1, len: 666
acc: FJ460789.1, len: 1041
acc: KJ455697.1, len: 1041
acc: FJ460784.1, len: 1041
